日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2019-12-02,income,交際費,-,-,お財布,,あき　カラオケ,-,JPY,2600,0,0,0,2600,常に集計に含める
2019-12-02,transfer,-,-,銀行,お財布,,,"ATM から現金引出",JPY,0,0,10000,0,10000,集計に含めない
2019-12-02,payment,【現金】,手数料,銀行,-,,,手数料,JPY,0,110,0,0,110,常に集計に含める
2019-12-02,payment,【現金】,食費,-,-,,,-,JPY,0,626,0,0,626,常に集計に含める
2019-12-02,income,交際費,-,-,-,,020　わらわら,-,JPY,2000,0,0,0,2000,常に集計に含める
2019-12-02,payment,交通費,交通費,カード,-,,,"海外利用 1 SUICA MOBILE PAYMENT 利用国JPN",JPY,0,200,0,0,200,常に集計に含める
2019-12-02,payment,エンタメ,イベント,カード,-,,,"マネキネコ キタコシガヤテン",JPY,0,5280,0,0,5280,常に集計に含める
2019-12-02,payment,交際費,外食,カード,-,,,笑笑053南越谷南口駅前店,JPY,0,4219,0,0,4219,常に集計に含める
2019-12-03,payment,【現金】,食費,-,-,,,-,JPY,0,561,0,0,561,常に集計に含める
2019-12-04,payment,【現金】,食費,-,-,,,-,JPY,0,659,0,0,659,常に集計に含める
2019-12-04,payment,食費,食費,カード,-,,,ファミリーマート,JPY,0,308,0,0,308,常に集計に含める
2019-12-04,payment,日用品,日用品,カード,-,,"スノボ スプレー、曇り止め","MIO イオンレイクタウンアウトレツト",JPY,0,4708,0,0,4708,常に集計に含める
2019-12-04,payment,交際費,外食,カード,-,,,"MIO イオンレイクタウンアウトレツト",JPY,0,1272,0,0,1272,常に集計に含める
2019-12-05,income,報酬,-,-,銀行,,,"振込 セリザワ レナ",JPY,93000,0,0,0,93000,常に集計に含める
2019-12-05,payment,食費,食費,カード,-,,,東急ストア,JPY,0,425,0,0,425,常に集計に含める
2019-12-06,payment,【現金】,水道,銀行,-,,,水道料金,JPY,0,4060,0,0,4060,常に集計に含める
2019-12-06,payment,【現金】,医療費,銀行,-,,,"送金 ENET",JPY,0,1688,0,0,1688,常に集計に含める
2019-12-06,payment,【現金】,手数料,銀行,-,,,手数料,JPY,0,220,0,0,220,常に集計に含める
2019-12-06,balance,-,-,-,カード,,,-,JPY,0,0,0,5860,5860,常に集計に含める
2019-12-06,payment,交通費,交通費,カード,-,,,"海外利用 1 SUICA MOBILE PAYMENT 利用国JPN",JPY,0,1000,0,0,1000,常に集計に含める
2019-12-06,payment,交際費,交際費,カード,-,,,"MJC HUBキタセンジユ",JPY,0,1100,0,0,1100,常に集計に含める
2019-12-06,payment,交際費,交際費,カード,-,,,"MJC HUBキタセンジユ",JPY,0,1100,0,0,1100,常に集計に含める
2019-12-06,payment,交際費,交際費,カード,-,,,"MJC HUBキタセンジユ",JPY,0,620,0,0,620,常に集計に含める
2019-12-06,payment,交際費,交際費,カード,-,,,"MJC HUBキタセンジユ",JPY,0,1040,0,0,1040,常に集計に含める
2019-12-06,payment,ガス・電気,ガス,カード,-,,,"MNS ジエイエイエナジーサイタマ",JPY,0,5624,0,0,5624,常に集計に含める
2019-12-07,transfer,-,-,銀行,お財布,,,"ATM から現金引出",JPY,0,0,10000,0,10000,集計に含めない
2019-12-07,payment,【現金】,手数料,銀行,-,,,手数料,JPY,0,220,0,0,220,常に集計に含める
2019-12-07,payment,【現金】,交際費,お財布,-,,法事,-,JPY,0,10000,0,0,10000,常に集計に含める
2019-12-07,payment,食費,食費,カード,-,,,"MNS ドラツグストアセキ ハナダ",JPY,0,647,0,0,647,常に集計に含める
2019-12-08,payment,【現金】,日用品,お財布,-,,,-,JPY,0,330,0,0,330,常に集計に含める
2019-12-08,payment,エンタメ,ゲーム,カード,-,,,文真堂書店タイムクリップゲオ北,JPY,0,5918,0,0,5918,常に集計に含める
2019-12-08,payment,食費,食費,カード,-,,,東急ストア,JPY,0,449,0,0,449,常に集計に含める
2019-12-09,balance,-,-,-,カード,,,-,JPY,0,0,0,10507,10507,常に集計に含める
2019-12-09,payment,【現金】,食費,-,-,,,-,JPY,0,830,0,0,830,常に集計に含める
2019-12-09,payment,エンタメ,書籍,カード,-,,,"タイムクリツプ キタコシガヤ",JPY,0,1310,0,0,1310,常に集計に含める
2019-12-10,payment,【現金】,食費,お財布,-,,,-,JPY,0,147,0,0,147,常に集計に含める
2019-12-10,payment,交通費,交通費,カード,-,,,"海外利用 1 SUICA MOBILE PAYMENT 利用国JPN",JPY,0,1000,0,0,1000,常に集計に含める
2019-12-10,payment,エンタメ,イベント,カード,-,,,"マネキネコ キタコシガヤテン",JPY,0,4092,0,0,4092,常に集計に含める
2019-12-11,payment,【現金】,交際費,お財布,-,,ボード諸費,-,JPY,0,1140,0,0,1140,常に集計に含める
2019-12-11,payment,食費,食費,カード,-,,,"MIO ジエイエフエムタカサカ",JPY,0,484,0,0,484,常に集計に含める
2019-12-11,payment,食費,食費,カード,-,,,"MIO カスミエフエスツインコシガヤ",JPY,0,881,0,0,881,常に集計に含める
2019-12-12,balance,-,-,カード,-,,,-,JPY,0,0,0,16367,16367,常に集計に含める
2019-12-12,payment,【現金】,交際費,お財布,-,,023,-,JPY,0,640,0,0,640,常に集計に含める
2019-12-12,payment,【現金】,食費,お財布,-,,,-,JPY,0,822,0,0,822,常に集計に含める
2019-12-12,payment,交際費,外食,カード,-,,,"庄や 上野駅前店",JPY,0,3410,0,0,3410,常に集計に含める
2019-12-12,payment,ファッション,化粧品/コスメ,カード,-,,香水,"ピー・デイー・シー ウエノテ",JPY,0,4345,0,0,4345,常に集計に含める
2019-12-12,payment,交通費,交通費,カード,-,,,"海外利用 1 SUICA MOBILE PAYMENT 利用国JPN",JPY,0,1000,0,0,1000,常に集計に含める
2019-12-12,payment,交通費,交通費,カード,-,,,"海外利用 1 SUICA MOBILE PAYMENT 利用国JPN",JPY,0,500,0,0,500,常に集計に含める
2019-12-12,payment,食費,食費,カード,-,,,東急ストア,JPY,0,853,0,0,853,常に集計に含める
2019-12-13,income,交際費,-,-,お財布,,あき　カラオケ,-,JPY,2000,0,0,0,2000,常に集計に含める
2019-12-13,payment,【現金】,食費,お財布,-,,,-,JPY,0,860,0,0,860,常に集計に含める
2019-12-13,income,交際費,-,-,お財布,,022,-,JPY,3000,0,0,0,3000,常に集計に含める
2019-12-13,payment,エンタメ,書籍,カード,-,,,"ブックオフオンライン楽天市場店 楽天市場",JPY,0,351,0,0,351,常に集計に含める
2019-12-14,payment,交際費,外食,カード,-,,022,"忍家 北越谷店",JPY,0,7504,0,0,7504,常に集計に含める
2019-12-14,payment,【現金】,食費,お財布,-,,,-,JPY,0,572,0,0,572,常に集計に含める
2019-12-14,payment,食費,食費,カード,-,,,セブンイレブン,JPY,0,347,0,0,347,常に集計に含める
2019-12-14,payment,ガス・電気,電気,カード,-,,,東京電力,JPY,0,8955,0,0,8955,常に集計に含める
2019-12-15,payment,【現金】,食費,お財布,-,,,-,JPY,0,478,0,0,478,常に集計に含める
2019-12-15,payment,【現金】,ペット,お財布,-,,ふたホシL５０,-,JPY,0,1300,0,0,1300,常に集計に含める
2019-12-15,payment,【現金】,日用品,お財布,-,,,-,JPY,0,1100,0,0,1100,常に集計に含める
2019-12-15,payment,通信,モバイル,カード,-,,,"MSP ソフトバンクモバイル（11ガツ）",JPY,0,27945,0,0,27945,常に集計に含める
2019-12-15,payment,食費,食費,カード,-,,,東急ストア,JPY,0,475,0,0,475,常に集計に含める
2019-12-16,income,給与所得,-,-,銀行,,,"振込 エーアンドテイーカンハ",JPY,217640,0,0,0,217640,常に集計に含める
2019-12-16,payment,食費,食費,カード,-,,,東急ストア,JPY,0,460,0,0,460,常に集計に含める
2019-12-17,income,交際費,-,-,お財布,,"022 カラオケ諸々",-,JPY,2500,0,0,0,2500,常に集計に含める
2019-12-17,payment,【現金】,日用品,お財布,-,,,-,JPY,0,110,0,0,110,常に集計に含める
2019-12-17,payment,【現金】,食費,お財布,-,,,-,JPY,0,270,0,0,270,常に集計に含める
2019-12-17,payment,食費,食費,カード,-,,炭酸ボンベ,ノジマ,JPY,0,2160,0,0,2160,常に集計に含める
2019-12-17,payment,食費,食費,カード,-,,,ファミリーマート,JPY,0,286,0,0,286,常に集計に含める
2019-12-17,payment,ファッション,衣服/靴,カード,-,,"みとん ","MIO イオンレイクタウンカゼ",JPY,0,11880,0,0,11880,常に集計に含める
2019-12-17,payment,食費,食費,カード,-,,,"MIO イオンレイクタウンカゼ",JPY,0,2475,0,0,2475,常に集計に含める
2019-12-17,payment,交通費,交通費,カード,-,,,"海外利用 1 SUICA MOBILE PAYMENT 利用国JPN",JPY,0,300,0,0,300,常に集計に含める
2019-12-17,payment,日用品,日用品,カード,-,,,マツモトキヨシ,JPY,0,261,0,0,261,常に集計に含める
2019-12-17,payment,食費,食費,カード,-,,,東急ストア,JPY,0,826,0,0,826,常に集計に含める
2019-12-17,payment,日用品,日用品,カード,-,,,イオンリテール,JPY,0,1018,0,0,1018,常に集計に含める
2019-12-18,payment,【現金】,食費,お財布,-,,,-,JPY,0,830,0,0,830,常に集計に含める
2019-12-18,payment,エンタメ,イベント,カード,-,,,"マネキネコ キタコシガヤテン",JPY,0,4092,0,0,4092,常に集計に含める
2019-12-18,payment,食費,食費,カード,-,,,東急ストア,JPY,0,567,0,0,567,常に集計に含める
2019-12-20,payment,食費,食費,カード,-,,,東急ストア,JPY,0,171,0,0,171,常に集計に含める
2019-12-20,payment,【現金】,交際費,お財布,-,,,-,JPY,0,1370,0,0,1370,常に集計に含める
2019-12-20,payment,【現金】,交際費,お財布,-,,,-,JPY,0,1232,0,0,1232,常に集計に含める
2019-12-20,payment,【現金】,医療費,お財布,-,,,-,JPY,0,4060,0,0,4060,常に集計に含める
2019-12-22,payment,食費,食費,カード,-,,,コープ,JPY,0,2711,0,0,2711,常に集計に含める
2019-12-22,payment,食費,食費,カード,-,,,ピザハツトキタコシガヤテン,JPY,0,2359,0,0,2359,常に集計に含める
2019-12-23,payment,【現金】,食費,お財布,-,,,-,JPY,0,1206,0,0,1206,常に集計に含める
2019-12-24,income,交際費,-,-,お財布,,,-,JPY,4000,0,0,0,4000,常に集計に含める
2019-12-24,payment,【現金】,食費,お財布,-,,,-,JPY,0,793,0,0,793,常に集計に含める
2019-12-25,payment,【現金】,食費,お財布,-,,,-,JPY,0,960,0,0,960,常に集計に含める
2019-12-25,payment,食費,食費,カード,-,,,東急ストア,JPY,0,479,0,0,479,常に集計に含める
2019-12-26,payment,【現金】,食費,お財布,-,,,-,JPY,0,860,0,0,860,常に集計に含める
2019-12-26,income,交際費,-,-,お財布,,015,-,JPY,10000,0,0,0,10000,常に集計に含める
2019-12-26,payment,【現金】,食費,お財布,-,,,-,JPY,0,206,0,0,206,常に集計に含める
2019-12-26,payment,食費,食費,カード,-,,,"ビバパエリア コシガヤテ",JPY,0,4070,0,0,4070,常に集計に含める
2019-12-27,payment,【現金】,家賃,銀行,-,,,"振替 AP）家賃",JPY,0,63630,0,0,63630,常に集計に含める
2019-12-27,balance,-,-,カード,-,,,-,JPY,0,0,0,129651,129651,常に集計に含める
2019-12-27,transfer,-,-,銀行,カード,,,"振替 楽天カードサービ",JPY,0,0,129651,0,129651,集計に含めない
2019-12-27,payment,【現金】,食費,お財布,-,,,-,JPY,0,583,0,0,583,常に集計に含める
2019-12-27,payment,【現金】,日用品,お財布,-,,,-,JPY,0,660,0,0,660,常に集計に含める
2019-12-27,payment,食費,食費,カード,-,,,東急ストア,JPY,0,677,0,0,677,常に集計に含める
2019-12-27,payment,ファッション,美容院,カード,-,,,"ヘア サロン ルツホ",JPY,0,4300,0,0,4300,常に集計に含める
2019-12-27,payment,エンタメ,イベント,カード,-,,,"マネキネコ キタコシガヤテン",JPY,0,5940,0,0,5940,常に集計に含める
2019-12-27,payment,エンタメ,イベント,カード,-,,,オリオンツアー,JPY,0,16600,0,0,16600,常に集計に含める
2019-12-28,balance,-,-,-,カード,,,-,JPY,0,0,0,129651,129651,常に集計に含める
2019-12-28,payment,【現金】,食費,お財布,-,,,-,JPY,0,1000,0,0,1000,常に集計に含める
2019-12-28,payment,エンタメ,音楽,カード,-,,,"ソフマップ楽天市場店 楽天市場",JPY,0,5000,0,0,5000,常に集計に含める
2019-12-28,payment,食費,食費,カード,-,,,東急ストア,JPY,0,662,0,0,662,常に集計に含める
2019-12-29,transfer,-,-,銀行,お財布,,,"ATM から現金引出",JPY,0,0,30000,0,30000,集計に含めない
2019-12-29,payment,【現金】,手数料,銀行,-,,,手数料,JPY,0,220,0,0,220,常に集計に含める
2019-12-29,payment,食費,食費,カード,-,,,東急ストア,JPY,0,417,0,0,417,常に集計に含める
2019-12-29,payment,【現金】,税金,お財布,-,,,-,JPY,0,19300,0,0,19300,常に集計に含める
2019-12-30,income,交際費,-,-,お財布,,あき　カラオケ,-,JPY,3600,0,0,0,3600,常に集計に含める
2019-12-30,payment,エンタメ,イベント,カード,-,,,"マネキネコ キタコシガヤテン",JPY,0,7260,0,0,7260,常に集計に含める
2019-12-30,payment,食費,食費,カード,-,,,セブンイレブン,JPY,0,212,0,0,212,常に集計に含める
2019-12-30,payment,【現金】,食費,お財布,-,,,-,JPY,0,373,0,0,373,常に集計に含める
2019-12-30,payment,【現金】,食費,お財布,-,,,-,JPY,0,528,0,0,528,常に集計に含める
2019-12-31,payment,食費,食費,カード,-,,,東急ストア,JPY,0,505,0,0,505,常に集計に含める
2019-12-31,payment,食費,食費,カード,-,,,東急ストア,JPY,0,1307,0,0,1307,常に集計に含める
2019-12-31,payment,【現金】,食費,お財布,-,,,-,JPY,0,518,0,0,518,常に集計に含める
2019-12-31,payment,【現金】,日用品,お財布,-,,,-,JPY,0,660,0,0,660,常に集計に含める
2019-12-31,payment,エンタメ,レンタル,カード,-,,,"ユーネクストサービス 利用料 ユーネクストサービスリヨウリヨウ",JPY,0,2189,0,0,2189,常に集計に含める
